dataflow,last update,freq,size_emp,nace_r2,indic_is,unit,geo,year,value,obs_flag,conf_status,dataset,feature,country
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT,SK,2024,2.65,,,ai,ai__E_AI_BCDP,Slovakia
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT,SK,2025,4.38,,,ai,ai__E_AI_BCDP,Slovakia
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT,TR,2024,4.74,,,ai,ai__E_AI_BCDP,T?rkiye
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT,TR,2025,5.32,,,ai,ai__E_AI_BCDP,T?rkiye
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT_AI_EC,AT,2021,28.96,,,ai,ai__E_AI_BCDP,Austria
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT_AI_EC,AT,2023,40.54,,,ai,ai__E_AI_BCDP,Austria
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT_AI_EC,AT,2024,46.27,,,ai,ai__E_AI_BCDP,Austria
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT_AI_EC,AT,2025,50.02,,,ai,ai__E_AI_BCDP,Austria
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT_AI_EC,BE,2021,28.53,,,ai,ai__E_AI_BCDP,Belgium
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT_AI_EC,BE,2023,33.97,,,ai,ai__E_AI_BCDP,Belgium
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT_AI_EC,BE,2024,36.69,,,ai,ai__E_AI_BCDP,Belgium
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT_AI_EC,BE,2025,50.7,,,ai,ai__E_AI_BCDP,Belgium
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT_AI_EC,BG,2021,32.04,,,ai,ai__E_AI_BCDP,Bulgaria
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT_AI_EC,BG,2023,40.44,,,ai,ai__E_AI_BCDP,Bulgaria
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT_AI_EC,BG,2024,38.75,,,ai,ai__E_AI_BCDP,Bulgaria
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT_AI_EC,BG,2025,47.71,,,ai,ai__E_AI_BCDP,Bulgaria
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT_AI_EC,CY,2021,31.46,,,ai,ai__E_AI_BCDP,Cyprus
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT_AI_EC,CY,2023,47.26,,,ai,ai__E_AI_BCDP,Cyprus
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT_AI_EC,CY,2024,41.66,,,ai,ai__E_AI_BCDP,Cyprus
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT_AI_EC,CY,2025,48.13,,,ai,ai__E_AI_BCDP,Cyprus
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT_AI_EC,DE,2025,59.86,,,ai,ai__E_AI_BCDP,Germany
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT_AI_EC,DK,2021,19.48,,,ai,ai__E_AI_BCDP,Denmark
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT_AI_EC,DK,2024,40.67,,,ai,ai__E_AI_BCDP,Denmark
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT_AI_EC,DK,2025,45.13,,,ai,ai__E_AI_BCDP,Denmark
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT_AI_EC,EA,2023,43.0,,,ai,ai__E_AI_BCDP,Euro area
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT_AI_EC,EA,2024,49.51,,,ai,ai__E_AI_BCDP,Euro area
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT_AI_EC,EA,2025,52.93,,,ai,ai__E_AI_BCDP,Euro area
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT_AI_EC,EE,2021,41.66,,,ai,ai__E_AI_BCDP,Estonia
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT_AI_EC,EE,2023,30.74,,,ai,ai__E_AI_BCDP,Estonia
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT_AI_EC,EE,2024,56.45,,,ai,ai__E_AI_BCDP,Estonia
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT_AI_EC,EL,2021,25.29,,,ai,ai__E_AI_BCDP,Greece
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT_AI_EC,EL,2023,36.85,,,ai,ai__E_AI_BCDP,Greece
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT_AI_EC,EL,2024,37.18,,,ai,ai__E_AI_BCDP,Greece
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT_AI_EC,EL,2025,45.93,,,ai,ai__E_AI_BCDP,Greece
ESTAT:ISOC_EB_AI(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AI_BCDP,PC_ENT_AI_EC,ES,2021,35.02,,,ai,ai__E_AI_BCDP,Spain
