geo,country,year,size_emp,target_workflow_automation,target_any_ai,security_concern_index,deployment_readiness_index,governance_maturity_proxy,E_AI_BLE,E_AI_BCST,persona_cluster
ES,Spain,2025,10-49,5.38,17.265,16.42642857142857,10.236666666666666,5.253333333333333,28.0375,15.725,2
ES,Spain,2025,50-249,9.780000000000001,30.165,17.899285714285714,23.02,14.01,29.135,18.52,3
EU27_2020,EU-27,2021,10-249,2.53,7.109999999999999,,,8.543333333333333,,,0
EU27_2020,EU-27,2021,10-49,2.1,6.18,,,7.613333333333332,,,0
EU27_2020,EU-27,2021,50-249,5.085,12.59,,,11.933333333333335,,,0
EU27_2020,EU-27,2023,10-249,2.605,7.42,13.785714285714286,4.763333333333334,9.03,20.59,13.8725,0
EU27_2020,EU-27,2023,10-49,2.13,6.45,13.779642857142859,3.9016666666666673,7.723333333333334,20.3375,14.17,0
EU27_2020,EU-27,2023,50-249,5.35,13.09,14.266785714285716,9.763333333333334,13.610000000000001,22.23,13.21,2
EU27_2020,EU-27,2024,10-249,3.72,12.705,14.784285714285714,,8.360000000000001,23.3225,10.9775,0
EU27_2020,EU-27,2024,10-49,3.05,11.275,14.421071428571429,,7.023333333333333,22.665,10.577499999999999,0
EU27_2020,EU-27,2024,50-249,7.635,21.009999999999998,16.83892857142857,,13.613333333333335,26.85,12.98,2
EU27_2020,EU-27,2025,10-249,4.805,18.994999999999997,15.763214285714284,12.686666666666667,7.983333333333333,23.9275,13.0675,2
EU27_2020,EU-27,2025,10-49,4.154999999999999,17.095,15.570357142857144,10.846666666666666,6.489999999999999,23.5775,12.912500000000001,2
EU27_2020,EU-27,2025,50-249,8.68,30.405,17.215357142857147,23.735,14.450000000000001,26.402500000000003,14.245000000000001,3
FI,Finland,2021,10-249,7.66,14.62,12.563928571428573,,6.6866666666666665,21.11,14.299999999999999,0
FI,Finland,2021,10-49,6.22,12.37,12.18857142857143,,5.613333333333333,20.2825,13.8775,0
FI,Finland,2021,50-249,15.33,26.66,14.775000000000002,,10.486666666666666,25.552500000000002,16.8175,2
FI,Finland,2023,10-249,7.56,13.83,14.907142857142858,11.406666666666666,10.626666666666667,26.12,11.23,2
FI,Finland,2023,10-49,5.66,11.48,14.533928571428572,9.053333333333333,8.67,25.937500000000004,11.0075,2
FI,Finland,2023,50-249,17.66,26.4,17.3825,23.97,17.233333333333334,28.5775,12.8525,3
FI,Finland,2024,10-249,9.37,22.81,,,9.866666666666667,,,2
FI,Finland,2024,10-49,7.72,20.02,,,7.563333333333335,,,2
FI,Finland,2024,50-249,18.15,37.67,,,18.666666666666668,,,2
FI,Finland,2025,10-249,13.78,36.41,17.374642857142856,27.813333333333333,10.58,28.0675,11.155,3
FI,Finland,2025,10-49,11.75,33.51,16.969285714285714,24.606666666666666,8.819999999999999,27.872500000000002,10.770000000000001,3
FI,Finland,2025,50-249,24.25,51.35,19.867500000000003,44.336666666666666,18.146666666666665,29.775000000000002,13.3925,3
FR,France,2021,10-249,1.77,6.0600000000000005,,,6.676666666666666,,,0
FR,France,2021,10-49,1.41,5.0649999999999995,,,6.223333333333334,,,0
FR,France,2021,50-249,4.295,13.08,,,8.533333333333333,,,0
FR,France,2023,10-249,1.775,5.48,,3.2083333333333335,6.699999999999999,,,0
FR,France,2023,10-49,1.51,4.755,,2.6133333333333333,5.236666666666666,,,0
FR,France,2023,50-249,3.495,10.175,,7.053333333333334,11.836666666666666,,,0
FR,France,2024,10-249,2.9450000000000003,9.27,,,7.383333333333333,,,0
FR,France,2024,10-49,2.795,8.530000000000001,,,7.1499999999999995,,,0
FR,France,2024,50-249,3.995,14.545,,,,,,0
FR,France,2025,10-249,3.9000000000000004,17.04,,9.931666666666667,6.3566666666666665,,,0
FR,France,2025,10-49,3.415,15.07,,8.183333333333334,5.253333333333333,,,0
FR,France,2025,50-249,7.28,30.81,,22.150000000000002,11.556666666666667,,,2
HR,Croatia,2021,10-249,2.95,8.495000000000001,12.465714285714284,,8.270000000000001,16.41,19.8875,0
HR,Croatia,2021,10-49,2.625,8.254999999999999,12.188571428571427,,8.443333333333333,15.2675,19.459999999999997,0
HR,Croatia,2021,50-249,4.82,9.870000000000001,13.815357142857144,,7.44,21.3575,21.985,1
HR,Croatia,2023,10-249,1.58,7.695,14.099642857142857,4.965,2.0833333333333335,19.675,20.255,0
HR,Croatia,2023,10-49,1.165,7.130000000000001,14.241428571428571,4.3950000000000005,1.9233333333333331,19.935,20.455000000000002,0
HR,Croatia,2023,50-249,4.12,11.17,13.427857142857144,8.453333333333333,2.7899999999999996,18.4175,19.3075,0
HR,Croatia,2024,10-249,2.795,11.365,14.813571428571427,9.075,8.636666666666667,20.785,18.4375,0
HR,Croatia,2024,10-49,2.21,10.57,14.993928571428572,8.36,8.1,20.695,18.3925,0
HR,Croatia,2024,50-249,6.57,16.49,14.074285714285717,13.69,11.283333333333333,21.4875,18.892500000000002,1
HR,Croatia,2025,10-249,2.45,14.555,14.907142857142857,10.475,9.853333333333333,19.2,19.77,1
HR,Croatia,2025,10-49,1.71,12.809999999999999,15.010714285714286,8.813333333333333,9.253333333333334,18.595,19.8675,1
HR,Croatia,2025,50-249,7.11,25.5,15.567499999999999,20.900000000000002,12.793333333333335,22.6975,20.7825,1
HU,Hungary,2021,10-249,1.0550000000000002,2.785,9.798214285714286,,6.496666666666667,16.2425,16.6875,0
