geo,country,year,size_emp,target_workflow_automation,target_any_ai,security_concern_index,deployment_readiness_index,data_maturity_index,digital_foundation_index,market_digitization_index,ict_capability_index,ict_constraint_index,governance_maturity_proxy,persona_cluster
EL,Greece,2024,10-49,1.855,8.355,11.250357142857144,,,22.37333333333333,37.95133333333333,8.287500000000001,18.758,12.913333333333336,0
EL,Greece,2024,50-249,9.33,15.92,14.288571428571428,,,32.13,35.035000000000004,17.86,30.537,26.941666666666663,2
EL,Greece,2025,10-249,1.7,8.559999999999999,15.137142857142857,22.650000000000002,35.28722222222222,26.94666666666667,32.68527777777778,,,25.79,0
EL,Greece,2025,10-49,1.35,7.38,15.054285714285713,21.16761904761905,32.94833333333333,25.21666666666667,32.65694444444444,,,24.33833333333333,0
EL,Greece,2025,50-249,3.625,15.195,15.685714285714283,30.578095238095237,47.91888888888889,36.733333333333334,32.98583333333334,,,32.41166666666667,2
ES,Spain,2021,10-249,2.64,7.085,12.317499999999999,33.827666666666666,,28.040000000000003,37.006666666666675,,,20.356666666666666,0
ES,Spain,2021,10-49,2.11,6.125,12.764642857142857,32.209,,26.296666666666663,36.54666666666667,,,19.528333333333336,0
ES,Spain,2021,50-249,6.115,13.399999999999999,11.638214285714286,44.13933333333333,,39.57666666666667,40.192,,,24.923333333333332,1
ES,Spain,2023,10-249,2.835,8.305,13.84,25.79547619047619,38.391666666666666,29.150000000000002,40.083000000000006,,,21.683333333333334,0
ES,Spain,2023,10-49,1.9849999999999999,6.43,14.190357142857144,23.681190476190473,35.82666666666666,26.903333333333336,39.544,,,19.665000000000003,0
ES,Spain,2023,50-249,7.9350000000000005,19.59,12.58357142857143,37.681428571428576,53.055,42.74,43.47233333333333,,,30.493333333333336,1
ES,Spain,2024,10-249,3.815,10.34,13.722142857142856,29.304761904761904,39.11277777777778,35.306666666666665,39.40866666666667,14.125,10.790000000000001,22.034444444444443,2
ES,Spain,2024,10-49,2.88,8.600000000000001,13.478214285714285,27.158333333333328,36.586666666666666,33.10666666666667,38.81666666666667,11.4875,8.697,20.558888888888887,0
ES,Spain,2024,50-249,9.3,20.585,15.418571428571429,41.30738095238096,52.919999999999995,48.28333333333333,42.93633333333334,29.67,16.979000000000003,28.74888888888889,1
ES,Spain,2025,10-249,6.05,19.225,16.589285714285715,32.13595238095238,45.43333333333334,38.803333333333335,32.96861111111111,,,24.066666666666666,2
ES,Spain,2025,10-49,5.38,17.265,16.42642857142857,29.836666666666673,42.72888888888889,36.70666666666666,32.37111111111111,,,22.2,2
ES,Spain,2025,50-249,9.780000000000001,30.165,17.899285714285714,44.537142857142854,60.15166666666667,50.583333333333336,36.46777777777778,,,32.87499999999999,3
EU27_2020,EU-27,2021,10-249,2.53,7.109999999999999,,36.296,,25.253333333333334,32.852,,,21.87833333333333,0
EU27_2020,EU-27,2021,10-49,2.1,6.18,,35.05333333333333,,23.38,32.498999999999995,,,21.041666666666664,0
EU27_2020,EU-27,2021,50-249,5.085,12.59,,43.52766666666666,,36.419999999999995,35.285,,,25.828333333333337,2
EU27_2020,EU-27,2023,10-249,2.605,7.42,13.785714285714286,29.895952380952384,33.93611111111111,27.313333333333333,32.98266666666667,,,23.618333333333336,0
