geo,country,year,size_emp,nace_r2,target_workflow_automation,security_concern_index,deployment_readiness_index,data_maturity_index,digital_foundation_index,market_digitization_index,ict_constraint_index,governance_maturity_proxy,persona_cluster
PL,Poland,2024,GE10,I55,1.33,15.377142857142855,,,49.01333333333334,81.45800000000001,11.189,4.031666666666667,1
PL,Poland,2024,GE10,ICT,13.2,13.617857142857142,,,62.083333333333336,32.50333333333334,18.088,19.678333333333335,0
PL,Poland,2024,GE10,J,13.440000000000001,13.706071428571429,,,62.43666666666667,32.279333333333334,17.083,18.585,0
PL,Poland,2024,GE10,J58-J60,4.715,10.739285714285714,,,58.00333333333334,48.96933333333334,16.9,7.985,0
PL,Poland,2024,GE10,J61,7.89,14.863571428571431,,,60.519999999999996,33.23866666666667,25.133000000000003,14.348333333333333,0
PL,Poland,2024,GE10,J62_J63,16.285,14.501785714285715,,,64.33333333333333,28.056666666666665,16.837,19.868333333333332,0
PL,Poland,2024,GE10,L,1.0150000000000001,12.681071428571428,,,41.84,24.930666666666667,12.6,14.261666666666667,0
PL,Poland,2024,GE10,L68,1.0150000000000001,12.681071428571428,,,41.84,24.930666666666667,12.6,14.261666666666667,0
PL,Poland,2024,GE10,L_M,5.57,13.410714285714283,,,48.89000000000001,22.231,12.188999999999998,22.310000000000002,0
PL,Poland,2024,GE10,M,7.3,13.691071428571428,,,51.57333333333332,21.16133333333333,12.427,22.921666666666667,0
PL,Poland,2024,GE10,M69-M71,7.07,15.28857142857143,,,50.74,19.180666666666664,10.130999999999998,21.05166666666667,0
PL,Poland,2024,GE10,M73-M75,6.87,6.428928571428571,,,51.73,26.619333333333334,18.041,25.363333333333337,5
PL,Poland,2024,GE10,N,3.87,9.911071428571429,,,32.986666666666665,25.799666666666667,4.0840000000000005,15.350000000000001,0
PL,Poland,2024,GE10,N77-N82_X_N79,3.77,9.518928571428573,,,32.07666666666667,24.491666666666664,3.6669999999999994,15.084999999999999,0
PL,Poland,2024,GE10,N79,6.73,16.23892857142857,,,59.089999999999996,57.70866666666667,11.401,19.488333333333333,1
PL,Poland,2024,GE10,S951,11.11,18.16857142857143,,,60.53666666666666,37.31733333333334,28.213,13.031666666666666,4
PL,Poland,2025,GE10,C,2.3,13.451785714285714,47.639,30.69111111111111,29.026666666666667,29.423333333333336,,17.46166666666667,3
PL,Poland,2025,GE10,C-E,2.335,13.615714285714287,48.57566666666667,31.711666666666662,29.60666666666667,28.748,,17.72,5
PL,Poland,2025,GE10,C-F,1.7149999999999999,13.32392857142857,45.245333333333335,29.45888888888889,25.936666666666667,26.284333333333336,,16.313333333333333,3
PL,Poland,2025,GE10,C10-C12,1.3450000000000002,15.659285714285714,39.01833333333333,27.145555555555557,22.900000000000002,26.445666666666664,,16.381666666666668,3
PL,Poland,2025,GE10,C10-C18,1.415,14.52357142857143,42.18000000000001,26.585000000000004,24.633333333333336,30.757999999999992,,14.443333333333335,3
PL,Poland,2025,GE10,C10-S951_X_K,2.615,12.848214285714286,46.111666666666665,31.918888888888887,29.543333333333333,31.929666666666662,,17.08833333333333,3
PL,Poland,2025,GE10,C13-C15,1.7,13.996071428571428,43.84433333333333,25.041666666666668,28.14333333333333,42.54833333333333,,12.888333333333332,3
